Exhibition ID,Exhibition Name,Type,Location,Start Time,End Time,Date,Details,Booking URL
EXH001,Van Gogh Alive,Art,Delhi,10:00 AM,6:00 PM,2024-09-15,An immersive experience of Van Gogh's masterpieces,https://google.com
EXH002,The Mughals: Power and Art,History,Delhi,9:00 AM,5:00 PM,2024-09-10,Discover the art and architecture of the Mughal Empire,https://google.com
EXH003,Science of the Future,Science,Delhi,11:00 AM,7:00 PM,2024-10-01,Explore futuristic technologies and innovations,https://google.com
EXH004,Gandhi and Freedom Struggle,History,Delhi,9:30 AM,6:00 PM,2024-09-20,Exhibits on Mahatma Gandhi and India's fight for independence,https://google.com
EXH005,Modern Indian Art,Art,Delhi,10:00 AM,5:00 PM,2024-09-05,Showcasing works from prominent modern Indian artists,https://google.com
EXH006,The Renaissance Art,Art,Mumbai,10:30 AM,6:30 PM,2024-09-18,A collection of Renaissance paintings sculptures and artifacts,https://google.com
EXH007,Space Odyssey,Science,Mumbai,11:00 AM,7:00 PM,2024-09-22,Journey through the cosmos with interactive space exhibits,https://google.com
EXH008,Ancient India,History,Mumbai,10:00 AM,5:30 PM,2024-09-25,Artifacts and displays from ancient Indian civilizations,https://google.com
EXH009,Impressionist Masters,Art,Mumbai,9:00 AM,5:00 PM,2024-09-14,Featuring works from Monet Degas and other Impressionist artists,https://google.com
EXH010,World of Robots,Science,Mumbai,10:00 AM,6:00 PM,2024-09-12,An interactive exhibition showcasing the latest in robotics,https://google.com
EXH011,Pune Heritage,History,Pune,10:00 AM,5:00 PM,2024-09-12,A journey through Pune's rich history and cultural heritage,https://google.com
EXH012,AI: The Future of Humanity,Science,Pune,11:00 AM,7:00 PM,2024-10-05,Exploring the impact of AI on society and the future,https://google.com
EXH013,Gurgaon Contemporary Art,Art,Gurgaon,10:30 AM,6:00 PM,2024-09-18,An exhibition featuring contemporary Indian and global art,https://google.com
EXH014,Space Explorers,Science,Gurgaon,9:30 AM,6:30 PM,2024-09-25,Interactive exhibits on space exploration and astronomy,https://google.com
EXH015,Chandigarh Architectural Marvels,Architecture,Chandigarh,9:00 AM,6:00 PM,2024-09-20,An exhibition showcasing Chandigarh's unique urban design and architecture,https://google.com
EXH016,Bengaluru Tech Summit,Science,Bangalore,10:00 AM,7:00 PM,2024-10-10,Innovations in technology AI and robotics,https://google.com
EXH017,Kolkata Literary Fest,Literature,Kolkata,9:30 AM,6:30 PM,2024-09-30,Celebrating literature art and culture in Kolkata,https://google.com
EXH018,Ahmedabad Textile Heritage,History,Ahmedabad,10:00 AM,5:30 PM,2024-09-15,Showcasing Ahmedabad’s rich history in textile manufacturing,https://google.com
EXH019,Hyderabad Nizam’s Legacy,History,Hyderabad,9:00 AM,6:00 PM,2024-09-22,Exploring the art culture and wealth of Hyderabad's Nizams,https://google.com
EXH020,Patna Museum of Ancient India,History,Patna,9:30 AM,5:30 PM,2024-09-10,Artifacts and sculptures from ancient India’s rich history,https://google.com
EXH021,Gwalior Fort Through Ages,History,Gwalior,10:00 AM,6:00 PM,2024-09-18,A detailed exploration of Gwalior Fort's history,https://google.com
EXH022,Modern Art Movements,Art,Chandigarh,9:00 AM,5:00 PM,2024-09-28,Exploring key movements in modern art from India and abroad,https://google.com
EXH023,Pune’s Modern Art,Art,Pune,10:30 AM,6:30 PM,2024-09-22,An exhibition of modern Indian art by local artists,https://google.com
EXH024,Science and Innovation Fair,Science,Pune,11:00 AM,7:00 PM,2024-10-15,Interactive science and innovation fair,https://google.com
EXH025,Gurgaon Science Expo,Science,Gurgaon,9:00 AM,6:00 PM,2024-10-05,Exploring cutting-edge technology and inventions,https://google.com
EXH026,Chandigarh Folk Traditions,Culture,Chandigarh,9:30 AM,6:00 PM,2024-09-24,Folk art music and traditions of Punjab and Haryana,https://google.com
EXH027,Bengaluru Photography Exhibit,Art,Bangalore,10:00 AM,5:00 PM,2024-09-20,An exhibition of stunning landscape and wildlife photography,https://google.com
EXH028,Kolkata Art Renaissance,Art,Kolkata,10:30 AM,6:30 PM,2024-10-02,Showcasing the Bengal school of art and modern movements,https://google.com
EXH029,Ahmedabad Science Expo,Science,Ahmedabad,9:00 AM,6:00 PM,2024-09-25,Exhibiting technological innovations and scientific breakthroughs,https://google.com
EXH030,Hyderabad Modern Art,Art,Hyderabad,10:00 AM,5:30 PM,2024-09-18,Featuring modern and contemporary art from Hyderabad’s artists,https://google.com
EXH031,Patna’s Ancient Sculptures,History,Patna,9:30 AM,6:00 PM,2024-09-27,A collection of ancient sculptures and carvings from Bihar,https://google.com
EXH032,Gwalior Classical Music Festival,Culture,Gwalior,9:00 AM,6:00 PM,2024-10-08,Celebrating the classical music heritage of Gwalior,https://google.com
EXH033,Pune International Art Fair,Art,Pune,10:00 AM,7:00 PM,2024-10-12,An exhibition featuring international artists and their works,https://google.com
EXH034,History of Gurgaon,History,Gurgaon,9:30 AM,5:30 PM,2024-09-28,A detailed exploration of the history and development of Gurgaon,https://google.com
EXH035,Chandigarh Film Festival,Film,Chandigarh,10:00 AM,8:00 PM,2024-10-15,Showcasing regional national and international films,https://google.com
